# Сведение субжанров к каноническому набору.
# В выгрузке 225 значений, многие — составные ярлыки вида «Британский рок / поп-рок».
# У одного «Рока» их 54, из них больше тридцати встречаются ровно по разу.
# Формат: как в таблице <TAB> канонический субжанр
# Строки, которых здесь нет, остаются как есть.
Альтернативный рок / фанк-рок	Альтернативный рок
Инди-рок / инди-поп	Инди-рок
Инди-рок / слоукор	Инди-рок
Британский рок / поп-рок	Британский рок
Британский рок / психоделия	Британский рок
Хард-рок / хеви-метал	Хард-рок
Альтернативный метал	Метал
Индастриал-метал	Метал
Прогрессивный / арт-рок	Прогрессивный рок
Прогрессивный / психоделический рок	Прогрессивный рок
Глэм-рок / арт-рок	Прогрессивный рок
Арт-поп / симфо-рок	Прогрессивный рок
Психоделический / джем-рок	Психоделический рок
Классический рок / арена-рок	Классический рок
Арена-рок	Классический рок
Колледж-рок	Классический рок
Рок 1980–1990-х	Классический рок
Панк-рок	Панк
Прото-панк	Панк
Дарк-фолк / пост-панк	Пост-панк
Авангардный / пост-панк	Пост-панк
Нью-вейв / синти-поп	Нью-вейв
Пост-гранж	Гранж
Блюз-рок / южный рок	Блюз-рок
Корневой / свэмп-рок	Блюз-рок
Южный рок	Блюз-рок
Сёрф-рок / поп-рок	Рок-н-ролл
Современный R&B / соул	Современный R&B
Американа	Кантри-рок

# --- Слияния мелких субжанров. Ярлык под одним треком — не субжанр,
# а частность; он сводится к ближайшему настоящему. Ничего не выбрасывается,
# запись остаётся в каталоге и находится поиском.
UK garage	Танцевальная электроника
Брейкбит	Танцевальная электроника
Хаус	Танцевальная электроника
Техно	Танцевальная электроника
Транс	Танцевальная электроника
Даунтемпо	Эмбиент и даунтемпо
Трип-хоп	Эмбиент и даунтемпо
Лаунж	Эмбиент и даунтемпо
Эмбиент	Эмбиент и даунтемпо
электронный эмбиент	Эмбиент и даунтемпо
дроун	Эмбиент и даунтемпо
Дельта-блюз	Традиционный блюз
Электрический блюз	Блюз-рок
Мотаун	Соул
Нео-соул	Соул
Классический соул / R&B	Соул
Олдскульный рэп	Хип-хоп
Трэп	Хип-хоп
Альтернативный хип-хоп	Хип-хоп
Тин-поп	Современный поп
Вокальный поп	Классический поп
Французский поп	Классический поп
Вокальная музыка	Классический поп
Пауэр-метал	Метал
Ска	Регги и ска
Регги	Регги и ска
Латино-рок	Мировая музыка
Латино-урбано	Мировая музыка
Тропическая музыка	Мировая музыка
Афробитс	Мировая музыка
традиционная музыка	Мировая музыка
Танго	Мировая музыка
Блюграсс	Кантри
Дрим-поп	Инди-поп
Джаз-рок	Джаз-фьюжн
Эйсид-джаз	Джаз-фьюжн
Телевизионный саундтрек	Саундтрек
Детская рождественская музыка	Рождественская музыка
Праздничная музыка	Рождественская музыка
Трибьют / кавер	Саундтрек
Не определён	—
# Один и тот же ярлык в двух регистрах — одно и то же явление.
Экспериментальная музыка	экспериментальная музыка
экспериментальная вокальная музыка	экспериментальная музыка
экспериментальная камерная музыка	экспериментальная музыка
экспериментальная новая музыка	экспериментальная музыка
Рэп	Хип-хоп
Танцевальная музыка	Танцевальная электроника
Современная авторская песня	Авторская песня
Корейская инди-музыка	Инди-поп
Инструментальная музыка	—
